original_sha256,web_asset_sha256,file,width,height,question_ids,subjects,topics,artist,provider,full_credit,license,license_url,source_page,source_title,rendering_note
028efbde77a5d8bd4e019652f6dd8647998156cf13d14e24b5a7305556797a7c,7fcbe7b727c066ee7bb0c8b63057368f40b18bbeac4024e02772419b439e2ecf,assets/neetpg_advanced_2026/images/028efbde77a5d8bd4e019652f6dd8647998156cf13d14e24b5a7305556797a7c.jpg,718,324,MED-007 | MED-008,Medicine,Hematologic malignancies and oncologic emergencies,dr Laughlin Dawes,Wikimedia Foundation,radpod.org,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Multiple_myeloma_skull_CT_arrows.PNG,Multiple myeloma skull CT arrows.PNG,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
02ae2518dd63734cc289555fed862f8d14b7be087bab74b0a526c890b16b8d5d,2e1442e2240f6dd7428afff09ff812dfa8e774479df934ae442aaa117c0070d6,assets/neetpg_advanced_2026/images/02ae2518dd63734cc289555fed862f8d14b7be087bab74b0a526c890b16b8d5d.jpg,1500,1035,PSY-077 | PSY-078,Psychiatry,Eating disorders,"James Heilman, MD",Wikimedia Foundation,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:BulemiaEnamalLoss.JPG,BulemiaEnamalLoss.JPG,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
02ed0b93093f03f49203cf3ffa7dc2d59c28f351eeaf2268cad1024d687a6e1d,e6e0ab7e793688bb0a7f430a656968eb1c227f46db40b4411b3cbc36470461d7,assets/neetpg_advanced_2026/images/02ed0b93093f03f49203cf3ffa7dc2d59c28f351eeaf2268cad1024d687a6e1d.jpg,1500,639,MED-067 | MED-068,Medicine,Toxicologic and environmental emergencies,WikiSysop,Wikimedia Foundation,http://askdrwiki.com/mediawiki/index.php?title=Image:Hypothermia.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:HypothermiaECG.jpg,HypothermiaECG.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
033a1c9fd007f293ea8196fb832a1f874096b311c63c69d61e59e29c1bc504b8,b12d19d954a5f2c8dbecbb9fb1c43b803809b325a708bdc3b2f9b460a059c1dd,assets/neetpg_advanced_2026/images/033a1c9fd007f293ea8196fb832a1f874096b311c63c69d61e59e29c1bc504b8.jpg,798,592,PHYS-071 | PHYS-072,Physiology,Insulin physiology,"Marelli B, Foppiani A, Sileo F, Pozzi G, Gallosti S, Cappellini C, Mari A, Bertoli S, Battezzati A.",NCBI,"Figure from Determinants of Glucose Tolerance in a Population Without Overt Diabetes: The Role of β-Cell Glucose Sensitivity, Insulin Sensitivity, and Insulin Clearance. (PMC13117718), CC BY",CC BY,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13117718/,"Determinants of Glucose Tolerance in a Population Without Overt Diabetes: The Role of β-Cell Glucose Sensitivity, Insulin Sensitivity, and Insulin Clearance. - Insulin secretion dynamics during the OGTT across metabolic phenotypes. Curves represent mean insulin secretion rates with 95% confidence intervals (shaded regions). Blue line: ind",Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
03894db6b53ba199c2bd1023e4980fde05677494ea0168920ef447afd7f7ee7f,eb9583e696c0fd44edfb69581e70d23e17db27c90113febc0273101f63e73ac2,assets/neetpg_advanced_2026/images/03894db6b53ba199c2bd1023e4980fde05677494ea0168920ef447afd7f7ee7f.jpg,929,697,PATH-003 | PATH-004,Pathology,Red-cell disorders,"Joan-Lluis Vives-Corrons, Elena Krishnevskaya",Wikimedia Foundation,"https://www.researchgate.net/publication/349926118_Rare_anemias_in_adolescents Joan-Lluis Vives-Corrons, Elena Krishnevskaya. Rare anemias in adolescents. February 2021. DOI:10.23750/abm.v92i1.11345 LicenseCC BY 4.0",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Peripheral_blood_smear_stained_with_MGG_from_a_patient_with_hereditary_spherocytosis.png,Peripheral blood smear stained with MGG from a patient with hereditary spherocytosis.png,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
03ad24b1d5d8e3d91441987eb473a730ab3dab93bb5f142b6e222be90cd96ec0,b3b17bc57a4bd5e3ceb7d412be26ccbb7296366ff35aa1b38d1b9fd60455ee4f,assets/neetpg_advanced_2026/images/03ad24b1d5d8e3d91441987eb473a730ab3dab93bb5f142b6e222be90cd96ec0.jpg,1467,1100,FMT-007 | FMT-008,Forensic Medicine,"Medical ethics, consent and negligence",NIAID,Wikimedia Foundation,Clinical Trial Volunteer Signs Informed Consent Form,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Clinical_Trial_Volunteer_Signs_Informed_Consent_Form_(45116548901).jpg,Clinical Trial Volunteer Signs Informed Consent Form (45116548901).jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
041a8b61609b4ef6f51e5d740d5c56a54201f850953611e4199eeed3d5d2d9c7,415366d3a688289be5ae8f2d1379394b338dea563f49c4c125cacbd5c2004468,assets/neetpg_advanced_2026/images/041a8b61609b4ef6f51e5d740d5c56a54201f850953611e4199eeed3d5d2d9c7.jpg,1500,463,ANAT-033 | ANAT-034,Anatomy,Cardiovascular embryology and fetal circulation,"Nagy, R.D.; Ruican, D.; Zorilă, G.-L.; Istrate-Ofiţeru, A.-M.; Badiu, A.M.; Iliescu, D.G.",Wikimedia Foundation,"Feasibility of Fetal Portal Venous System Ultrasound Assessment at the FT Anomaly Scan. Diagnostics 2022, 12, 361. https://doi.org/10.3390/diagnostics12020361",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Agenesis_of_ductus_venosus_human.jpg,Agenesis of ductus venosus human.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
04455e1e0d2e887385e426f3e57e6e56df3c08dc80f746223eee678c90463eef,eae7d968edfc6bd0d91d494378a31ebd2eb4457d0179eefb890a3ef8d53fa5f0,assets/neetpg_advanced_2026/images/04455e1e0d2e887385e426f3e57e6e56df3c08dc80f746223eee678c90463eef.jpg,1467,1100,MICR-055 | MICR-056,Microbiology,Intestinal nematode infections,Ajay Kumar Chaurasiya,Wikimedia Foundation,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Strongyloides_stercoralis_in_Stool_Wet_Mount_Microscopy.jpg,Strongyloides stercoralis in Stool Wet Mount Microscopy.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
044b3cb3025e5344ae2c1c46554e8e19d68d0649e1726aabaf7d5710f6bbe412,f4a24b1a7978f80ac3c899ae31dc3e15aa7cb3b42583f5fb4e594a5211166a82,assets/neetpg_advanced_2026/images/044b3cb3025e5344ae2c1c46554e8e19d68d0649e1726aabaf7d5710f6bbe412.jpg,1417,948,BIOC-021 | BIOC-022,Biochemistry,Amino-acid metabolism and inherited disorders,Wu et al.,Frontiers,Wu et al.,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2026.1805510/full,Ocular findings suggestive of ochronosis (Figure 3),Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
052b4ef8a555a539b13aed3f46d4f5e5af229fcf0a58a9c9cc2f1d1c510a968e,a2dd3a4728adffc5ab41d966c96c7c193c17762b53ce9a2eaeb4aa5333c6f04b,assets/neetpg_advanced_2026/images/052b4ef8a555a539b13aed3f46d4f5e5af229fcf0a58a9c9cc2f1d1c510a968e.jpg,672,1100,MED-075 | MED-076,Medicine,Inflammatory arthritis,Bernd Brägelmann Braegel Mit freundlicher Genehmigung von Dr. Martin Steinhoff,Wikimedia Foundation,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:RheumatoideArthritisAP.jpg,RheumatoideArthritisAP.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
060df31ae7340240668cb312c6b92cccae26b812b9df3629af46100dfeca8de0,b874e351aeb49f1512c8a07797c405e5b6d4fa9e6b13a119c955ae9220ec04fc,assets/neetpg_advanced_2026/images/060df31ae7340240668cb312c6b92cccae26b812b9df3629af46100dfeca8de0.jpg,612,790,ANES-075 | ANES-076,Anaesthesiology,Basic life support,PhilippN,Wikimedia Foundation,created using Image:Blodpumpe.png and Image:Gray1219.png,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Defibrillation_Electrode_Position.jpg,Defibrillation Electrode Position.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
063ee1d087ebb2da661f0026b98c97f1ed52c00def4913ce93caecb98a62a61b,072159e3e14b285168fe9938d7ce5b3c47f37d1553c2c3bfe54739cafbb7ad4b,assets/neetpg_advanced_2026/images/063ee1d087ebb2da661f0026b98c97f1ed52c00def4913ce93caecb98a62a61b.jpg,1280,687,PED-031 | PED-032,Pediatrics,Seizure disorders,Uhomachinky,Wikimedia Foundation,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Left_Hippocampal_Sclerosis_on_MRI.jpg,Left Hippocampal Sclerosis on MRI.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
06950fc92520cfa060dff32e83a2e834d145f899d740afd3c8b8b9627a118625,27ae19e9db6683572bcaa014809b02c5804db9289b6ca0ced6af6d53fe8b3417,assets/neetpg_advanced_2026/images/06950fc92520cfa060dff32e83a2e834d145f899d740afd3c8b8b9627a118625.jpg,750,282,OPH-045 | OPH-046,Ophthalmology,Binocular vision and strabismus,"Simpao JL, Goseki T, Onouchi H.",NCBI,"Figure from Surgical Approaches for Residual Secondary Gaze Diplopia After Strabismus Surgery: A Case Series. (PMC12662713), CC BY",CC BY,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12662713/,Surgical Approaches for Residual Secondary Gaze Diplopia After Strabismus Surgery: A Case Series. - 9-gaze photographs of a patient with right superior oblique palsy,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
06998e6ea7da6e312f6a90abcbe6bd30c219b7c6831ce1e4afca4e9a7189dae1,722fdae51a352126f006a5cb2b46c6a5dfbfe17cd70f5073939a56d4b6432b7c,assets/neetpg_advanced_2026/images/06998e6ea7da6e312f6a90abcbe6bd30c219b7c6831ce1e4afca4e9a7189dae1.jpg,825,1100,ANES-061 | ANES-062,Anaesthesiology,Oxygenation and ventilation,This photo was taken by Przemysław Jahr Autorem zdjęcia jest Przemysław Jahr Wykorzystując zdjęcie proszę podać jako autora: Przemysław Jahr / Wikimedia Commons,Wikimedia Foundation,Own work,Public domain,,https://commons.wikimedia.org/wiki/File:Dr%C3%A4gersorb_Soda_Lime.jpg,Drägersorb Soda Lime.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
06e3e5e19a903dbe3c99a486d4425b520aa575a4217f19c0a7ef5efa819ee4d6,c9e0b2793387532c356c3efb3febd79af24f8b8795585dcccbe3c5421234022e,assets/neetpg_advanced_2026/images/06e3e5e19a903dbe3c99a486d4425b520aa575a4217f19c0a7ef5efa819ee4d6.jpg,750,863,OPH-059 | OPH-060,Ophthalmology,Diabetic retinopathy,,NCBI,"Figure from PMC12357964 (PMC12357964), CC BY",CC BY,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12357964/,PMC12357964 - Representative images of no DR/normal retina and four severity levels of DR by the Oivi camera,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
06f62c8f4d3909aa77bd28e900753f1a40e4796ac628b81309f6b209fefe8dda,025d19245884e2b7f54973c16bff292ab09abcd48b10e3da9e8e65cc957f8402,assets/neetpg_advanced_2026/images/06f62c8f4d3909aa77bd28e900753f1a40e4796ac628b81309f6b209fefe8dda.jpg,731,1100,OBG-051 | OBG-052,Obstetrics and Gynaecology,Cervical screening and prevention,"Ed Uthman from Houston, TX, USA",Wikimedia Foundation,"High-Grade SIL, ThinPrep Uploaded by CFCF",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:High-Grade_SIL,_ThinPrep_(4306966632).jpg","High-Grade SIL, ThinPrep (4306966632).jpg",Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
07895759274a182ba31e93a55753e8eff2c1613e53f3a5ba895b490d8f86181c,e9be078fbb6c9f8795ffd3d1a100431e488029a55e672b32f668ca609ef88288,assets/neetpg_advanced_2026/images/07895759274a182ba31e93a55753e8eff2c1613e53f3a5ba895b490d8f86181c.jpg,799,1100,SUR-025 | SUR-026,Surgery,Colorectal disease,Hellerhoff,Wikimedia Foundation,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Sigmavolvulus_mit_Whirlpool_Sign_24M_-_CT_coronar_-_019.jpg,Sigmavolvulus mit Whirlpool Sign 24M - CT coronar - 019.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
07c9151d45cd30dc83b2dfc9ae9c984f5c15b89e283f89777242741f91056f7f,d212bc5f414962d7f0c9316ac5f20e3f12aaded3ed03c92a0ca4f7fda2e6ab7f,assets/neetpg_advanced_2026/images/07c9151d45cd30dc83b2dfc9ae9c984f5c15b89e283f89777242741f91056f7f.jpg,1162,1100,DERM-029 | DERM-030,Dermatology,Cutaneous bacterial infections,CDC/Dr. Thomas F. Sellers/Emory University,Wikimedia Foundation,"This media comes from the Centers for Disease Control and Prevention 's Public Health Image Library (PHIL), with identification number #2874 . Note: Not all PHIL images are public domain; be sure to check copyright status and credit authors and content providers. العربية | Deutsch | English | македонски | slovenščina | +/−",Public domain,,https://commons.wikimedia.org/wiki/File:Facial_erysipelas.jpg,Facial erysipelas.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
0830148f1d54ea67a68a710eb2e2088ceb29cb4619400501416e30aa8105fff7,b95830b8ca302cf70254cebf7095beb5004080ec9f807b3b05d1985844c8b199,assets/neetpg_advanced_2026/images/0830148f1d54ea67a68a710eb2e2088ceb29cb4619400501416e30aa8105fff7.jpg,815,1100,FMT-059 | FMT-060,Forensic Medicine,Plant poisons,Franz Eugen Köhler,Wikimedia Foundation,http://caliban.mpiz-koeln.mpg.de/~stueber/koehler2/high/DSC_3064.html,Public domain,,https://commons.wikimedia.org/wiki/File:Strychnos_nux-vomica_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-266.jpg,Strychnos nux-vomica - Köhler–s Medizinal-Pflanzen-266.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
0879b8645558139111bad3e51ef35915538dbbbe9806074b7d8db826728cba66,59c5436185b4320b66da9d4ed435f3c4bf35da23e4ccedc6db09ff96f3a883a9,assets/neetpg_advanced_2026/images/0879b8645558139111bad3e51ef35915538dbbbe9806074b7d8db826728cba66.jpg,1084,1100,FMT-009 | FMT-010,Forensic Medicine,Wounds and traumatic head injury,Dr. Manavpreet Kaur,Wikimedia Foundation,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Lacerations.jpg,Lacerations.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
0887461ed52e52e6f07c1bc707cc681a1afb4510849889ebd0c8ac498f1c2278,dad2862ccc2bda912f3f92cfdce7d2973a8ce3dd61e47a974bdccf6da9b360a8,assets/neetpg_advanced_2026/images/0887461ed52e52e6f07c1bc707cc681a1afb4510849889ebd0c8ac498f1c2278.jpg,800,1067,OBG-049 | OBG-050,Obstetrics and Gynaecology,Urogynecology and pelvic organ prolapse,,NCBI,"Figure from Addressing complicated vesicovaginal fistula post-intercourse in MRKH: the critical imperative for comprehensive sex education and awareness (PMC12981679), CC BY",CC BY,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12981679/,Addressing complicated vesicovaginal fistula post-intercourse in MRKH: the critical imperative for comprehensive sex education and awareness - Showing Foleys catheter inside the urethra only for the initial 2 cm beyond which it came out through the complicated vesicovaginal fistula extending till the bladder neck.,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
08a6fdb63c0d76918d0427b9df2ba3eb6c581b5405c8e19ea4a74cabac9eb39b,c3110350e06a3fb218c3a46cb748801f9b111acad406b77efdc0b428fb43db88,assets/neetpg_advanced_2026/images/08a6fdb63c0d76918d0427b9df2ba3eb6c581b5405c8e19ea4a74cabac9eb39b.jpg,407,600,ANAT-049 | ANAT-050,Anatomy,Cerebral circulation and functional neuroanatomy,Henry Vandyke Carter,Wikimedia Foundation,"Henry Gray (1918) Anatomy of the Human Body (See ""Book"" section below) Bartleby.com : Gray's Anatomy , Plate 764",Public domain,,https://commons.wikimedia.org/wiki/File:Gray764_He.png,Gray764 He.png,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
08e5daea934afe9a1741e72c371918494b8d6b2a4eb32f4df9c5348b29b34f23,181d14dbaebf332d0610874de9b632f70a0f49bcada647c587c40559f2fa87f2,assets/neetpg_advanced_2026/images/08e5daea934afe9a1741e72c371918494b8d6b2a4eb32f4df9c5348b29b34f23.jpg,649,455,OBG-001 | OBG-002,Obstetrics and Gynaecology,Mullerian and outflow anomalies,Bkoh6576,Wikimedia Foundation,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Illustration_of_a_cross_section_of_a_septate_uterus_in_humans_reflecting_an_anomalous_extension_of_the_septum,_resulting_in_inflammation_and_hypomenorrhea_due_to_reduction_of_the_cervical_opening.jpg","Illustration of a cross section of a septate uterus in humans reflecting an anomalous extension of the septum, resulting in inflammation and hypomenorrhea due to reduction of the cervical opening.jpg",Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
090643da1e193540efd8639cab7ff65683480c94f34d21d1e716f91e0a5c80fe,ef834ff5265207e45735a6a28b51be93f38c62f0ac0eb11f9d73a699da86bf06,assets/neetpg_advanced_2026/images/090643da1e193540efd8639cab7ff65683480c94f34d21d1e716f91e0a5c80fe.jpg,1500,1033,PSY-041 | PSY-042,Psychiatry,Anxiety disorders,Vitalicecila,Wikimedia Foundation,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Trichotillomania.jpg,Trichotillomania.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
092ac7ae66178d58a5c42e7c14e68a8c6b71e0e2cee44016818d71dda77e5b98,930283d8cd987e5e61a5104db5f40bc6c7320253969c15f5624b1eb1889faf76,assets/neetpg_advanced_2026/images/092ac7ae66178d58a5c42e7c14e68a8c6b71e0e2cee44016818d71dda77e5b98.jpg,1500,1008,DERM-015 | DERM-016,Dermatology,Papulosquamous disorders,Photo Credit: Content Providers(s): CDC/ Dr. M. F. Rein Transwiki approved by: w:en:User:Dmcdevit,Wikimedia Foundation,"This media comes from the Centers for Disease Control and Prevention 's Public Health Image Library (PHIL), with identification number #6950 . Note: Not all PHIL images are public domain; be sure to check copyright status and credit authors and content providers. العربية | Deutsch | English | македонски | slovenščina | +/−",Public domain,,https://commons.wikimedia.org/wiki/File:Feet-Reiters_syndrome.jpg,Feet-Reiters syndrome.jpg,Web display JPEG made from the approved white-background render used in the final StudyDoc PDF; diagnostic annotations were not added.
